HomeOdds,DrawOdds,AwayOdds,Winner,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HomeTeamLP,AwayTeamLP,HTGD,ATGD,DiffFormPts,DiffLP
7.0,3.75,1.5,-1,1.0,2.44,L,W,W,W,W,W,15.0,2.0,-0.52,1.6,-0.24,13.0
1.57,3.4,7.0,1,1.76,0.68,L,D,W,D,L,L,17.0,18.0,0.12,-0.92,0.08,-1.0
2.25,3.2,3.1,0,1.12,1.24,W,W,D,L,W,L,9.0,6.0,-0.36,-0.08,0.16,3.0
2.37,3.25,2.87,0,1.24,1.16,L,W,D,L,W,D,16.0,5.0,0.16,-0.24,0.04,11.0
4.5,3.4,1.8,-1,1.22222222222,2.07407407407,D,D,L,W,W,W,16.0,3.0,0.148148148148,1.0,-0.259259259259,13.0
1.22,5.5,13.0,1,2.0,0.814814814815,W,L,W,L,D,W,1.0,18.0,1.03703703704,-0.407407407407,0.0,-17.0
2.3,3.25,3.0,0,0.62962962963,0.7037037037039999,L,D,W,D,L,W,18.0,12.0,-0.962962962963,-0.555555555556,0.0,6.0
2.6,3.2,2.62,1,0.814814814815,1.07407407407,L,D,W,L,W,L,18.0,10.0,-0.407407407407,-0.148148148148,0.148148148148,8.0
2.25,3.2,3.1,-1,1.18518518519,1.77777777778,L,D,L,D,W,L,6.0,17.0,-0.148148148148,0.148148148148,-0.148148148148,-11.0
1.8,3.1,5.0,1,1.39285714286,1.03571428571,W,W,L,L,L,D,15.0,9.0,0.17857142857099995,-0.464285714286,-0.035714285714300006,6.0
6.5,3.5,1.57,0,0.714285714286,2.03571428571,D,D,L,W,W,L,12.0,1.0,-0.535714285714,1.14285714286,-0.14285714285700002,11.0
1.22,5.5,13.0,1,2.1071428571400004,1.0714285714299998,W,W,W,L,L,W,3.0,13.0,1.03571428571,-0.357142857143,0.428571428571,-10.0
1.9,3.1,4.33,0,1.46428571429,1.39285714286,D,W,L,D,D,L,11.0,7.0,0.214285714286,-0.214285714286,-0.07142857142860001,4.0
1.83,3.3,4.33,1,1.21428571429,1.42857142857,W,D,D,D,W,W,5.0,8.0,-0.17857142857099995,0.107142857143,-0.17857142857099995,-3.0
2.6,3.2,2.62,-1,0.714285714286,1.1785714285700002,L,W,L,L,D,D,18.0,16.0,-0.928571428571,0.07142857142860001,-0.035714285714300006,2.0
1.2,6.0,13.0,1,2.44827586207,0.724137931034,W,W,D,W,D,L,2.0,18.0,1.51724137931,-0.827586206897,0.172413793103,-16.0
2.37,3.25,2.87,1,1.3793103448299997,1.34482758621,D,D,D,L,W,W,7.0,15.0,-0.206896551724,0.137931034483,0.0,-8.0
1.57,3.5,6.5,0,1.48275862069,1.06896551724,L,L,W,W,W,L,4.0,15.0,0.379310344828,-0.379310344828,0.0,-11.0
1.2,6.0,13.0,1,2.46666666667,0.8666666666670001,W,W,W,D,W,L,2.0,18.0,1.5,-0.433333333333,0.266666666667,-16.0
1.83,3.3,4.33,1,1.3,1.2,L,L,W,L,W,L,15.0,16.0,0.06666666666669999,0.06666666666669999,0.0333333333333,-1.0
2.75,3.2,2.5,0,1.0,1.2666666666700002,L,L,L,D,W,W,13.0,5.0,-0.466666666667,-0.133333333333,-0.2,8.0
1.25,5.0,13.0,1,2.1,1.0,D,W,W,L,D,L,3.0,9.0,1.0,-0.466666666667,0.366666666667,-6.0
1.66,3.4,5.5,-1,1.43333333333,0.7,W,D,D,L,W,D,7.0,18.0,-0.133333333333,-0.833333333333,0.0333333333333,-11.0
1.57,3.6,6.0,1,1.43333333333,0.666666666667,W,L,D,L,L,L,8.0,18.0,0.1,-0.966666666667,0.233333333333,-10.0
4.5,3.4,1.8,-1,1.06896551724,2.0,W,W,L,D,W,W,15.0,1.0,-0.379310344828,1.1034482758600002,-0.137931034483,14.0
1.8,3.4,4.5,-1,1.4,0.8,L,D,D,W,D,D,11.0,12.0,0.133333333333,-0.466666666667,-0.0333333333333,-1.0
1.9,3.1,4.33,1,1.46666666667,1.7,D,L,L,L,W,L,4.0,17.0,0.366666666667,0.133333333333,0.0,-13.0
2.3,3.1,3.1,1,1.0666666666700002,1.2666666666700002,L,L,W,W,L,W,10.0,6.0,-0.2,-0.1,-0.0333333333333,4.0
1.9,3.1,4.33,0,1.125,0.96875,D,W,L,L,D,L,10.0,13.0,-0.125,-0.5,0.1875,-3.0
2.2,3.2,3.25,-1,0.8181818181820001,1.27272727273,L,L,W,D,W,L,12.0,6.0,-0.515151515152,-0.0606060606061,0.0,6.0
2.4,3.2,2.87,-1,1.33333333333,1.48484848485,L,D,L,W,L,W,7.0,8.0,-0.272727272727,0.151515151515,-0.121212121212,-1.0
2.0,3.2,3.75,0,0.787878787879,0.69696969697,L,L,L,W,L,L,18.0,18.0,-0.636363636364,-0.939393939394,0.030303030303,0.0
2.3,3.25,3.0,0,1.0303030303,1.21212121212,D,L,W,W,D,L,9.0,16.0,-0.424242424242,0.0606060606061,-0.0606060606061,-7.0
1.83,3.25,4.5,0,1.51515151515,1.39393939394,L,W,W,W,D,W,4.0,15.0,0.363636363636,0.121212121212,0.0,-11.0
